Plot,Trat,Cultivar,Plant,Z1,S1,Z2,S2,Z3,S3,Z4,S4,Z5,S5
E9,A3C1,C,11,0,5,0,7,,100,,,,
E9,A3C1,C,12,0,25,5,25,3,60,,,,
E9,A3C1,C,13,0,5,0,3,11,70,,100,,
E9,A3C1,C,14,0,5,0,20,4,15,,,,
E9,A3C1,C,15,0,3,0,5,0,7,,100,,
E9,A3C1,A,16,4,5,2,10,40,80,,100,,
E9,A3C1,A,17,2,3,4,10,5,70,,100,,
E9,A3C1,A,18,1,3,15,20,30,40,,100,,
E9,A3C1,A,19,3,4,5,30,,100,,,,
E9,A3C1,A,20,4,5,5,7,7,30,,100,,
E9,A3C1,A,21,4,5,4,15,15,40,,100,,
E9,A3C1,A,22,5,7,7,10,7,25,,100,,
E9,A3C1,A,23,2,5,3,15,,100,,,,
E9,A3C1,A,24,3,5,2,5,,100,,,,
E9,A3C1,A,25,1,3,4,5,7,15,,100,,
E9,A3C1,A,26,2,3,5,10,12,30,,,,
E9,A3C1,A,27,3,5,5,20,25,60,,100,,
E9,A3C1,A,28,0,3,2,10,15,95,,100,,
E9,A3C1,A,29,1,5,4,5,10,95,,100,,
E9,A3C1,A,30,1,5,3,7,,100,,,,
